player_key,name,height_inch,weight_lbs,birth_date,mlb_debut_date,bat_hand,throw_hand,rs_user_id,br_user_id
,Matt Olson,77.0,230.0,1994-03-29,2016-09-12,L,R,olsom001,
,Trevor Plouffe,74.0,200.0,1986-06-15,2010-05-21,R,R,plout001,
,Zach Neal,75.0,220.0,1988-11-09,2016-05-11,R,R,nealz001,
,Stephen Vogt,72.0,215.0,1984-11-01,2012-04-06,L,R,vogts001,
,Daniel Gossett,74.0,185.0,1992-11-13,2017-06-14,R,R,gossd001,
,Rajai Davis,71.0,197.0,1980-10-19,2006-08-14,R,R,davir003,
,Daniel Coulombe,70.0,185.0,1989-10-26,2014-09-16,L,L,could001,
,John Axford,77.0,195.0,1983-04-01,2009-09-15,R,R,axfoj001,
,Liam Hendriks,73.0,190.0,1989-02-10,2011-09-06,R,R,hendl001,
,Drew Steckenrider,77.0,215.0,1991-01-10,2017-05-24,R,R,stecd001,
,Adam Rosales,73.0,195.0,1983-05-20,2008-08-09,R,R,rosaa001,
,Trea Turner,73.0,175.0,1993-06-30,2015-08-21,R,R,turnt001,
,Ryan Raburn,72.0,180.0,1981-04-17,2004-09-12,R,R,rabur001,
,Bryce Harper,75.0,215.0,1992-10-16,2012-04-28,L,R,harpb003,
,Ryan Zimmerman,75.0,220.0,1984-09-28,2005-09-01,R,R,zimmr001,
,Daniel Murphy,75.0,210.0,1985-04-01,2008-08-02,L,R,murpd006,
,Anthony Rendon,72.0,195.0,1990-06-06,2013-04-21,R,R,renda001,
,Matt Wieters,77.0,230.0,1986-05-21,2009-05-29,B,R,wietm001,
,Michael Taylor,75.0,210.0,1991-03-26,2014-08-12,R,R,taylm002,
,Tanner Roark,74.0,220.0,1986-10-05,2013-08-07,R,R,roart001,
,Matt Grace,75.0,205.0,1988-12-14,2015-04-22,L,L,gracm003,
,Stephen Drew,73.0,185.0,1983-03-16,2006-07-15,L,R,drews001,
,Joe Ross,76.0,205.0,1993-05-21,2015-06-06,R,R,rossj002,
,Oliver Perez,75.0,160.0,1981-08-15,2002-06-16,L,L,pereo002,
,Jacob Turner,77.0,210.0,1991-05-21,2011-07-30,R,R,turnj002,
,Adam Lind,74.0,195.0,1983-07-17,2006-09-02,L,L,linda001,
,Enny Romero,75.0,165.0,1991-01-24,2013-09-22,R,L,romee002,
,Brian Goodwin,72.0,205.0,1990-11-02,2016-08-06,L,R,goodb001,
,Gio Gonzalez,71.0,185.0,1985-09-19,2008-08-06,R,L,gonzg003,
,Blake Treinen,77.0,215.0,1988-06-30,2014-04-12,R,R,treib001,
,Matt Albers,72.0,205.0,1983-01-20,2006-07-25,L,R,albem001,
,Jose Lobaton,72.0,195.0,1984-10-21,2009-07-05,B,R,lobaj001,
,Max Scherzer,75.0,215.0,1984-07-27,2008-04-29,R,R,schem001,
,Anthony Rizzo,75.0,220.0,1989-08-08,2011-06-09,L,L,rizza001,
,Kris Bryant,77.0,215.0,1992-01-04,2015-04-17,R,R,bryak001,
,Willson Contreras,73.0,210.0,1992-05-13,2016-06-17,R,R,contw001,
,Addison Russell,72.0,200.0,1994-01-23,2015-04-21,R,R,russa002,
,Ian Happ,72.0,205.0,1994-08-12,2017-05-13,B,R,happi001,
,Albert Almora,74.0,190.0,1994-04-16,2016-06-07,R,R,almoa002,
,Javier Baez,72.0,190.0,1992-12-01,2014-08-05,R,R,baezj001,
,Jake Arrieta,76.0,225.0,1986-03-06,2010-06-10,R,R,arrij001,
,Mark Zagunis,72.0,205.0,1993-02-05,2017-06-22,R,R,zagum002,
,Jon Jay,71.0,200.0,1985-03-15,2010-04-26,L,L,jay-j001,
,Brian Duensing,71.0,195.0,1983-02-22,2009-04-10,L,L,duenb001,
,Tommy La Stella,71.0,185.0,1989-01-31,2014-05-28,L,R,lastt001,
,Felix Pena,74.0,185.0,1990-02-25,2016-08-19,R,R,penaf002,
,Miguel Montero,71.0,197.0,1983-07-09,2006-09-06,L,R,montm001,
,John Lackey,78.0,200.0,1978-10-23,2002-06-24,R,R,lackj001,
,Justin Grimm,75.0,195.0,1988-08-16,2012-06-16,R,R,grimj002,
,Jon Lester,74.0,190.0,1984-01-07,2006-06-10,L,L,lestj001,
,Carl Edwards,75.0,170.0,1991-09-03,2015-09-07,R,R,edwac001,
,Wade Davis,77.0,220.0,1985-09-07,2009-09-06,R,R,daviw001,
,Mike Montgomery,76.0,200.0,1989-07-01,2015-06-02,L,L,montm002,
,Pedro Strop,72.0,160.0,1985-06-13,2009-08-28,R,R,strop001,
,Hector Rondon,75.0,180.0,1988-02-26,2013-04-03,R,R,rondh001,
,Paul Sewald,75.0,205.0,1990-05-26,2017-04-08,R,R,sewap001,
,Brandon Nimmo,75.0,205.0,1993-03-27,2016-06-26,L,R,nimmb001,
,Neil Ramirez,76.0,190.0,1989-05-25,2014-04-25,R,R,ramin001,
,Erik Goeddel,75.0,190.0,1988-12-20,2014-09-01,R,R,goede001,
,Steven Matz,74.0,200.0,1991-05-29,2015-06-28,R,L,matzs001,
,Matt Reynolds,73.0,205.0,1990-12-03,2016-05-17,R,R,reynm003,
,Chasen Bradford,73.0,225.0,1989-08-05,2017-06-25,R,R,bradc002,
,Seth Lugo,76.0,225.0,1989-11-17,2016-07-01,R,R,lugos001,
